Comment,Type of Comment
"المكان الذي يمكنك فيه مراجعة الذات والتفكر هو كوكروبيت، غانا....  
ثمة الكثير عند زيارة غانا. وعلى الرغم من الفقر الذي سوف تلاحظه على طريقك إلى بيغ ميلي باكيارد، وجدت أن الناس في غانا يملكون ثراء القلب حتى رغم العوز. بيغ ميلي باكيارد هو مكان يمكنني فيه مراجعة الذات والتفكر . التقيت أشخاصاً كانوا يعملون على مبادرات مختلفة. بيغ ميلي هو مكان يمكننا فيه تبادل الملاحظات والآراء. بيغ ميلي مليء بالسلام وهادئ للغاية . الطعام ممتاز جداً! الطهاة ممتازون! وبالإضافة إلى ذلك, لا بد من الإشارة إلى أن العمال الذين لا يكلون، ويحرصون على سعادة نزلائهم هم من يجعلون المكان مضيافاً. هناك خيبة أمل واحدة كبيرة!! رغم أن الفنون والأشغال اليدوية يمكن شراؤها في الموقع إلا أن الأسعار غالية!!! مؤخراً أزالت السلطات في كوكروبيت محلات التجار الواقعة خارج شاطئ بيغ ميلي. كانت منتجات التجار أرخص! لا يزال هناك محل تجاري ""متجر مايسترو للفن الإفريقي في كوكروبيت"" يعرض الفنون والأشغال اليدوية الفريدة والملابس واللوحات. اشتريت لوحات مذهلة لايمكنك أن تجدها في بيغ ميلي. عندما تزور بيغ ميلي من فضلك خذ لحظة للذهاب إلى الشاطئ وعلى يمينك ستجد ""متجر مايسترو للفن الإفريقي"" المذهل. لا تنخدع بأسعار التجار في بيغ ميلي باكيارد. استمتع بالموسيقى والناس! الرجاء أن تقضي وقتاً ممتعاً.",1
"موقع رائع وحديقة رائعة ويستحق نجمةّ إضافية  
على الرغم من أن الغرف ليست فاخرة، فهي نظيفة جداً وتعمل بشكل مثالي. بالتأكيد هناك بعض التصرفات الفردية والجماعية، ولكن كان هناك تكييف هواء كبير وجيد ونوافذ مزدوجة جيدة مع شاشات. منطقة الحديقة تحتوى على 3 مطاعم بالإضافة إلى بار رياضي. تبلغ تكلفة الإنترنت اللاسلكي 1:50 دولار للساعة، ولا يوجد خصم على الفترات الأطول، لذلك اضطررت إلى إغلاق حاسوبي أكثر. إف و بي رخيص جداً. يبدو أن هناك العديد من الزوار الأجانب هناك. 85 دولار أمريكي لليلة بما في ذلك بوفيه إفطار بمستوى نجمة واحدة. إقامة أفضل بكثير مما اعتقدت، سنعود بالتأكيد. شملت الإقامات السابقة فندق الأفريقية ريجنت و الدخول بالمطار غرب فندق (خيارريجينت أفريكان وفندق إيربيورت ويست (خيار قوي لتلك المنطقة من المدينة). حركة المرور في أكرا مُصابة بالشلل، لذا قم بعقد اجتماعاتك في فندق بالوما - وهو معروف جيداً.",0
"أسوأ فندق أقمت فيه على الإطلاق  
يستغرق تسجيل الوصول حوالي 30 دقيقة، باهظ الثمن، غرف قديمة جداً وقذرة، سجادة قذرة جداً... فى المجمل تجربة سيئة للغاية.
مثل هذا الفندق سيكون في آسيا، نجمة واحدة، ويمكن أن أذهب في مايو.
30 دولار أمريكي.
السعر في فندق نوفوتيل حوالي 250 دولار أمريكي
",-1
"بدون روح كأنه فندق ثلاثة نجوم  
بدون إدارة احترافية، فإن هذا الفندق يبدو كمركب ضائع في البحر.
الغرف موزعة بطريقة عشوائية والإفطار هو نقانق باردة سخيفة ونفس السلطة القديمة في كل يوم.
كان مكيف الهواء يثير الضوضاء في الغرفة ومن المستحيل إيقافه.
ولكن مركز صحي رائع
",0
"فندق جميل مع سوء الإدارة والخدمات.  
من الخارج بدا مبشرًا، لكن خيبة الأمل بدأت في وقت الغداء، جودة الطعام سيئة سيئة سيئة، والحساء كان مزريًا جدًا، والفواكه جودتها سيئة (البكيخ كان متعفنًا، واو!). اشتكى زملائي من عدم وجود مناشف في غرفهم في حوالي الساعة 8 مساءً، والبعض لم تكن أسرّتهم مرتبة حتى الساعة 5 مساءً. تناولنا عشاء مكسيكيًا ومرة أخرى كانت قائمة الطعام مزرية. لن أقيم هنا أبدًا، على الأقل أتحدث عن نفسي!",-1
"فندق جميل، منظر رائع من بركة السباحة (على السطح)!!!  
فندق جميل، ديكور مريح جداً، طاقم عمل ودود، أسرة مريحة، موقع رائع وبركة سباحة جميلة وشرفة على السطح للاستمتاع بالمناظر.
الإفطار رائع أيضاً مع الكثير من الكعك!!!
أحب أن أعود قريبا!!
",1
"مكان لطيف وهادئ بعيدًا عن الزحام  
عثرت على هذا المكان عن طريق موقع تريب أدفايزور ومرة أخرى كان جيدًا. وفندق ""في آي بي إكسيكوتيف"" هو واحد من فنادق كبار الشخصيات العديدة في هذه المنطقة. وتمت ترقية غرفتي عند وصولي. الغرفة واسعة جدًا مع ثلاجة صغيرة ونافذة تفتح على هواء منعش ويوجد مكيف هواء. وهو يقع خارج ساحة ماركيز بومبال وهو ما يجعله على بُعد مسافة قصيرة بالمترو من جميع الأنشطة. القائمون على العناية بالغرف قاموا بعمل عظيم. كان فريق العمل ودودًا ومتعاونًا. استنادًا إلى التعليقات الموجودة على موقع تريب أدفايزر، لم أتناول الإفطار هناك (8 يورو) ومشيت إلى المقهى الموجود بالقرب من محطة المترو حيث حصلت على معجنات رائعة وقهوة حليب طازجة مقابل 2.25 يورو. يوجد مجفف شعر بالغرفة. لا توجد ساعة. يوجد العديد من ملصقات كاندينسكي المستخدمة في الأعمال الفنية. الستائر جيدة وقد كانت تحجب الضوء بقماش شفاف أبيض. حي جيد به عاملون وبعض الفنادق. توجد العديد من محلات الأزياء بالجوار وكذلك بين الحديقة ومحطة مترو أفينيدا. خدمة الإنترنت الدفع فيها حسب الاستخدام. وتكلفة 24 ساعة من استخدام الإنترنت هي 10 يورو.",1
"راقي و كلاسيكي""  
فندق كبير مصمم بفن الديكور الجميل آرت ديكو يقع في منطقة هادئة خارج أفينديا ليبرداد.
كل شيء عن المكان يشير إلى درجة من الرقي و الأصالة الغيرملفتة للنظر.
غرف ممتازة، أسرة ضخمة و مريحة و دورات مياة وآثاث مصممين بفن آرت ديكو.
وجبات إفطار لذيذة، و بعد الظهر يقدم شاي مجاني في المكتبة و خمرة في المساء.
مكان جميل حقا.
",1
"تحذير للرجال الذي يحبون تناول بعض البيرة ليلاً!  
شيء وحيد أود قوله هو أنه لا توجد أية مشكلة في فندق كلاريون سويتس في لشبونة (أو في أي مكان آخر في هذا الشأن)، مشكلتي كانت الموقع. بعد يوم حافل في رحلة سياحية، أود تناول العشاء ثم الخروج لتناول بعض البيرة. كانت الساعة 8 مساءً في هذه المنطقة عندما لاحظت أن الأماكن الوحيدة التي تقدم البيرة (هي محلات الكيك حيث تكون البيرة متاحة، لكنك تجلس على طاولة صغيرة على كراسي مطبخ معدنية أنبوبية رديئة - لا يوجد بار على الإطلاق) كانت كل المحلات تستعد للإغلاق. في هذه المنطقة بأكملها، وفي كل المناطق القريبة التي يمكن الوصول إليها سيرًا على الأقدام، لم أجد بارًا وحدًا. انتهيت من تناول البيرة في ماكدونالدز (بينما ابنتي وأمي يتناولان البرجر). في وقت لاحق دخلت إلى فندق ريتز (فور سيزونز) وتناولت كوبين إضافيين من البيرة في بار الفندق. تكلف الكوب 13 يورو، إلا إنها كانت مرة بعض الشيء! يكفي القول إنك إذا كنت مثلي تحب الخروج من الفندق لتناول البيرة في بار محلي، فابحث عن مكان آخر! أما إذا كنت تحب القهوة والكعك والنوم في الساعة 8 مساءً، فهذا الفندق سيكون رائعًا.",1
"فندق رائع  
بعد 4 أيام قضيناها في ليسبوا، وصلنا أخيرًا إلى المنزل. يمكنك تزكية هذا الفندق لأي شخص دون تفكير. فهو رائع ونظيف. والأسرة من نوعية عالية الجودة. والموظفون ودودون. وبوفيه الإفطار يقدم أنواع مختلفة من الخبز والكعك والزبادي، إلخ، بالإضافة إلى القهوة والشاي والشيكولاتة الساخنة ... والعصير الرائع - كل شيء مرض بشكل يفوق الوصف. وعلى بعُد 20 مترًا عبر الشارع يوجد مدخل محطة مترو سان سبستياو - أربع محطات فقط وتصل إلى مركز المدينة - نصيحة: يمكنك الحصول على بطاقة لاستقلال المترو والترام والحافلات والمصاعد لمدة 24 ساعة مقابل 3.95 يورو فقط ;-) - يقع متحف جالبنكين المثير على بُعد دقيقتين فقط - يضم الفندق حديقة رائعة يمكنك الاستمتاع بها مجانًا.",1
